category;english;Malay;Estonian;Finnish;Hungarian;Armenian;Bengali;Nepali;Japanese;Korean;Turkish;Yoruba;Basque;Swahili;Chinese
artistic;art historian;ahli sejarah seni;kunstiajaloolane;taiteen historioitsija;művészettörténész;արվեստի պատմաբան;শিল্প ইতিহাসবিদ;कला इतिहासकार;美術史家;미술 사학자;sanat tarihçisi;onkowe akọwe;artearen historialaria;mwanahistoria wa sanaa;艺术史家
artistic;artisan;tukang kayu;artisan;käsityöläinen;kézműves;արհեստավոր;শিল্পী;artisan;職人;장인;esnaf;artisan;artisau;mtaalamu;工匠
artistic;artist;artis;kunstnik;taiteilija;művész;նկարիչ;শিল্পী;कलाकार;アーティスト;예술가;sanatçı;olorin;artistaren;msanii;艺术家
artistic;arts administration;pentadbiran seni;kunstitegevus;taiteen hallinto;művészeti adminisztráció;արվեստի վարչություն;শিল্প প্রশাসন;कला प्रशासन;芸術管理;예술 행정;sanat yönetimi;isakoso iṣakoso;arteen administrazioa;utawala wa sanaa;艺术行政
artistic;blogger;blogger;blogger;bloggaaja;blogger;բլոգեր;ব্লগার;ब्लगर;ブロガー;블로거;blogger;blogger;blogger;blogger;博客
artistic;brand manager;pengurus jenama;brändijuht;tuotepäällikkö;márkaigazgató;բրենդի կառավարիչ;পণ্য ব্যবস্থাপক;ब्रान्ड प्रबन्धक;ブランドマネージャー;브랜드 매니저;marka yöneticisi;oluṣakoso faili;marka kudeatzailea;meneja wa bidhaa;品牌经理
artistic;baker;tukang roti;pagar;leipuri;pék;հացթուխ;রূটিত্তয়ালা;बेकर;パン屋;빵 굽는 사람;fırıncı;alagbẹdẹ;okina;waokaji;面包师傅
artistic;t.v host;pengacara televisyen;saatejuht;tv-juontaja;műsorvezető;t.v հյուրընկալող;টিভি হোস্ট;t.v होस्ट;t.vホスト;tv 호스트;televizyon sunucusu;t.v olupin;t.v ostalaria;t.v mwenyeji;电视节目主持人
artistic;cartoonist;kartunis;cartoonist;pilapiirtäjä;rajzfilmkészítő;մուլտիպլիկատոր;ব্যঙ্গচিত্র অংকনকারী;कार्टूनवादी;漫画家;만화가;karikatürist;oluwaworan;marrazkilari;cartoonist;漫画家
artistic;casting director;pengarah pemutus;casting director;roolittaja;casting igazgató;ձուլման ռեժիսոր;কাস্টিং পরিচালক;कास्टिंग निर्देशक;キャスティングディレクター;캐스팅 디렉터;rol yönetmeni;oludari simẹnti;casting zuzendaria;mkurugenzi akitoa;选角导演
artistic;ceramics artist;artis seramik;keraamikaartist;keramiikkataiteilija;kerámia művész;կերամիկական արվեստագետ;সিরামিক শিল্পী;सिरेमिक्स कलाकार;セラミックスアーティスト;도예가;seramik sanatçısı;olorin olorin;zeramikazko artista;keramik msanii;陶瓷艺术家
artistic;chief creative officer;ketua pegawai kreatif;pealik looja ohvitser;pääluokan luova virkamies;fő kreatív tiszt;գլխավոր ստեղծագործական սպա;প্রধান সৃজনশীল কর্মকর্তা;मुख्य सृजनात्मक अधिकारी;チーフクリエイティブオフィサー;최고 광고 책임자;şef yaratıcı subay;olori oludari akọkọ;sormen ofizial nagusia;afisa wa ubunifu mkuu;首席创意官
artistic;choreographers;koreografer;koreograafid;koreografit;koreográfusok;քանդակագործներ;কোরিওগ্রাফার;कोरियोग्राफर्स;振付家;안무가;koreograflar;awọn oluṣewe;koreografoak;wachapishaji;编舞
artistic;cinematographer;cinematographer;operaator;kuvaaja;operatőr;կինեմատոգրաֆիստ;সিনেমাটোগ্রাফার;छायांकन;撮影監督;촬영 기사;alıcı yönetmeni;olorinrin;zinema;sinema ya sinema;放映技师
artistic;colorist;colorist;värviline;colorist;colorist;գունագեղ;বর্ণবিদ;colorist;カラーリスト;유색 인종 주의자;renkleri ustaca kullanan sanatçı;colorist;kolorista;rangi;调色
artistic;comic book creator;pencipta buku komik;koomiksi looja;sarjakuvakirjan luoja;képregény alkotója;երգիծական գրքի ստեղծող;কমিক বই স্রষ্টা;हास्य पुस्तक निर्माता;漫画家のクリエイター;만화책 제작자;çizgi romancı yaratıcısı;iwe apanilerin apanilerin;komiki-liburua sortzailea;mtunzi wa kitabu cha comic;漫画书的创造者
artistic;compositor;pengarang;kompilaator;latoja;szedő;կոմպոզիտոր;কম্পোজিটর;रचनाकार;合成者;식자공;dizgici;olupilẹṣẹ iwe;compositor;mtunzi;合成
artistic;coppersmith;coppersmith;hõbemedalm;vaskiseppä;rézműves;պղնձաձողը;তাম্রকার;coppersmith;コッパースミス;구리 세공인;bakırcı;copponmith;cobre;coppersmith;铜匠
artistic;copywriter;copywriter;copywriter;tekstitoimittaja;szövegíró;պատճենահանող;কপিরাইটার;copywriter;コピーライター;카피라이터;copywriter;copywriter;copywriter;mwandishi wa nakala;文案
artistic;creative director;pengarah kreatif;loominguline juht;luova johtaja;kreatív igazgató;ստեղծագործական տնօրեն;সৃজনশীল পরিচালক;रचनात्मक निर्देशक;クリエイティブディレクター;크리에이티브 디렉터;yaratıcı yönetmen;oludari akọle;sormen zuzendaria;mkurugenzi wa ubunifu;创意总监
artistic;creative professional;profesional kreatif;loominguline professionaal;luova ammattilainen;kreatív szakember;ստեղծագործական պրոֆեսիոնալ;সৃজনশীল পেশাদার;रचनात्मक पेशेवर;創造的な専門家;창조적 인 전문가;yaratıcı profesyonel;creative ọjọgbọn;sormen profesionala;mtaalamu wa ubunifu;创意专业
artistic;creative writer;penulis kreatif;loominguline kirjanik;luova kirjailija;kreatív író;ստեղծագործ գրող;সৃজনশীল লেখক;रचनात्मक लेखक;クリエイティブライター;창조적 인 작가;yaratıcı yazar;onkọwe onkọwe;idazle sortzailea;mwandishi wa ubunifu;创意作家
artistic;cultural designer;pereka kebudayaan;kultuuri disainer;kulttuurisuunnittelija;kulturális tervező;մշակութային դիզայներ;সাংস্কৃতিক ডিজাইনার;सांस्कृतिक डिजाइनर;文化デザイナー;문화 디자이너;kültürel tasarımcı;onise apẹẹrẹ;kultur diseinatzailea;mtengenezaji wa kitamaduni;文化设计师
artistic;curator;kurator;kuraator;kuraattori;kurátor;կուրատոր;অধ্যক্ষ;क्यूरेटर;キュレーター;관리자;müze müdürü;alagbẹdẹ;komisarioak;mkandarasi;馆长
artistic;dancer;penari;tantsija;tanssija;táncos;պարուհի;নর্তকী;नर्तक;ダンサー;춤추는 사람;dansçı;oniṣere;dantzari;mchezaji;舞蹈家
artistic;design director;pengarah reka bentuk;disainiregister;suunnittelujohtaja;tervező igazgató;դիզայնի տնօրեն;নকশা পরিচালক;डिजाइन निर्देशक;デザインディレクター;디자인 디렉터;tasarım direktörü;onise apẹẹrẹ;diseinu zuzendaria;mkurugenzi wa kubuni;设计总监
artistic;design strategist;strategi reka bentuk;disainstrateegia;suunnittelu strategi;tervező stratégia;դիզայնի ստրատեգ;নকশা কৌশলবিদ;डिजाइन रणनीतिकर्ता;デザインストラテジスト;디자인 전략가;tasarım stratejisti;oniru strategist;diseinu estratega;kubuni strategist;设计策略师
artistic;editor;editor;toimetaja;toimittaja;szerkesztő;խմբագիր;সম্পাদক;सम्पादक;編集者;편집자;editör;olootu;editore;mhariri;编辑
artistic;equestrian;ekuestrian;ratsutamine;ratsastus-;lovas;ձիասպորտ;অশ্বারূঢ়;समीक्षक;乗馬;승마자;atlı;equestrian;hipika;equestrian;骑马的
artistic;engineer;jurutera;insener;insinööri;mérnök;ինժեներ;প্রকৌশলী;ईन्जिनियर;エンジニア;기사;mühendis;onise ẹrọ;ingeniaria;mhandisi;工程师
artistic;essayist;esei;esseeist;esseisti;esszéista;էսսեիստ;প্রবন্ধকার;निबंध;エッセイスト;수필가;deneme yazarı;essayist;saiakera;waandishi wa habari;散文家
artistic;event planner;perancang majlis;sündmuse planeerija;tapahtumasuunnittelija;eseménytervező;միջոցառման ծրագրավորող;ইভেন্ট পরিকল্পক;कार्यक्रम प्लानर;イベントプランナー;이벤트 플래너;etkinlik plancısı;oludari eto iṣẹlẹ;gertaera plana;mpangaji wa tukio;计划人，策划人
artistic;fashion designer;pereka fesyen;moedisainer;muotisuunnittelija;divattervező;ոճաբան;ফ্যাশান ডিজাইনার;फेसन डिजाइनर;ファッションデザイナー;패션 디자이너;moda tasarımcısı;onise apẹẹrẹ;moda diseinatzailea;mtindo wa mtindo;时装设计师
artistic;film critic;pengkritik filem;filmi kriitik;elokuvantekijä;film kritikus;կինոքննադատ;চলচ্চিত্র সমালোচক;फिल्म आलोचना;映画評論家;영화 평론가;film eleştirmeni;fiimu olorin;zinema kritikaria;critic filamu;电影评论家
artistic;film director;pengarah filem;režissöör;elokuvaohjaaja;filmrendező;ռեժիսոր;চলচ্চিত্র পরিচালক;चलचित्र निर्देशक;映画監督;영화 감독;film yönetmeni;oludari fiimu;film zuzendaria;mkurugenzi wa filamu;电影导演
artistic;fine artist;artis yang baik;ilus kunstnik;hieno taiteilija;képzőművész;նկարիչ;সূক্ষ্ম শিল্পী;राम्रो कलाकार;ファインアーティスト;훌륭한 예술가;güzel sanatçı;olorin to dara julọ;artista fina;msanii mzuri;好的艺术家
artistic;flash developer;pemaju denyar;flash arendaja;flash-kehittäjä;flash fejlesztő;flash մշակողը;ফ্ল্যাশ ডেভেলপার;फ्लैश डेवलपर;フラッシュ開発者;플래시 개발자;flash geliştirici;filasi flash;flash garatzailea;developer flash;闪存开发者
artistic;flatter;megah;meelitab;litteämpi;hízeleg;հարազատ;জপান;चापलूसी;より平らな;즐겁게 하다;pohpohlamak;flatter;flatter;flatter;奉承
artistic;floral designer;pereka bunga;õie disainer;kukka-suunnittelija;virágtervező;ծաղկի դիզայներ;ফুলের ডিজাইনার;पुष्प डिजाइनर;花のデザイナー;꽃 디자이너;çiçek tasarımcısı;ti onise apẹrẹ;lore diseinatzailea;mtengenezaji wa maua;花艺设计师
artistic;food stylist;stylist makanan;toidu stiilist;ruoka stylisti;élelmiszer stylist;սննդի ստիլիստ;খাদ্য স্টাইলিস্ট;खाद्य स्टाइलिस्ट;フードスタイリスト;식품 디자이너;gıda stilisti;ounjẹ onjẹ;elikagaien estilista;stylist ya chakula;食品造型师
artistic;furniture designer;pereka perabot;mööblidisainer;huonekalut suunnittelija;bútortervező;կահույքի դիզայներ;আসবাবপত্র ডিজাইনার;फर्नीचर डिजाइनर;家具デザイナー;가구 디자이너;mobilya tasarımcısı;onise apẹrẹ;altzari diseinatzailea;samani designer;家具设计师
artistic;game artist;artis permainan;mängu kunstnik;pelimies;játék előadó;խաղացողը;খেলা শিল্পী;खेल कलाकार;ゲームアーティスト;게임 아티스트;oyun sanatçısı;ere ere;jokoaren artista;msanii wa mchezo;游戏艺术家
artistic;graphic designer;pereka grafik;graafiline disainer;graafinen suunnittelija;grafikus;գրաֆիկական դիզայներ;গ্রাফিক ডিজাইনার;ग्राफिक डिजाइनर;グラフィックデザイナー;그래픽 디자이너;grafik tasarımcısı;onise apẹẹrẹ;diseinatzaile grafiko;mchoraji wa picha;平面设计师
artistic;hairstylist;penggaya rambut;juuksestilist;hiusmuotoilija;fodrász;վարսահարդար;কেশবিন্যাসকারী;केश स्रिंगारक;ヘアスタイリスト;미용사;saç stilisti;irisi aṣa;ile apaintzailea;mtengeneza nywele;发型师
artistic;illustrator;ilustrator;illustraator;kuvittaja;illusztrátor;նկարիչ;ইলাস্ট্রেটর;illustrator;イラストレーター;삽화가;ressam;oluyaworan;ilustratzailea;kielelezo;插画
artistic;imagineer;imaginer;imagineer;imagineer;imagineer;նկարիչ;imagineer;imagineer;イメージャ;상상력이 풍부한;hayalci;fojuinu;imagineer;imagineer;幻想工程师
artistic;industrial designer;pereka perindustrian;tööstusdisainer;teollinen suunnittelija;ipari formatervező;արդյունաբերական դիզայներ;শিল্প ডিজাইনার;औद्योगिक डिजाइनर;工業デザイナー;산업 디자이너;endüstriyel tasarımcı;onise apẹẹrẹ;diseinatzaile industriala;viwanda designer;工业设计师
artistic;interior designer;pereka dalaman;sisekujundaja;sisustussuunnittelija;belsőépítész;ինտերիերի դիզայներ;অভ্যন্তর ডিজাইনার;आन्तरिक डिजाइनर;インテリアデザイナー;인테리어 디자이너;iç mimar;onise apẹẹrẹ inu;barruko diseinatzailea;designer mambo ya ndani;室内设计师
artistic;jewellery designer;pereka barang kemas;ehete disainer;korujen suunnittelija;ékszertervező;ոսկերչական դիզայներ;জহরত ডিজাইনার;आभूषण डिजाइनर;ジュエリーデザイナー;보석상 디자이너;mücevher tasarımcısı;onise apẹẹrẹ;bitxigintza diseinatzailea;designer jewellery;珠宝设计师
artistic;journalist;wartawan;ajakirjanik;toimittaja;újságíró;լրագրող;সাংবাদিক;पत्रकार;ジャーナリスト;기자;gazeteci;onise iroyin;kazetari;mwandishi wa habari;记者
artistic;knitwear designer;pereka pakaian rajut;kudumid disainer;neuleen suunnittelija;kötöttáru tervező;տրիկոտաժի դիզայներ;নিটওয়্যার ডিজাইনার;बुना भयो कपडा डिजाइनर;ニットデザイナー;니트웨어 디자이너;triko tasarımcısı;knitwear onise;puntuzko diseinatzailea;knitwear designer;针织品设计师
artistic;landscape architect;arkitek landskap;maastikuarhitekt;maisemasuunnittelija;tájépítész;լանդշաֆտային ճարտարապետ;আড়াআড়ি স্থপতি;परिदृश्य आर्किटेक्ट;風景建築家;조경;peyzaj mimarı;ile-ilẹ ala-ilẹ;arkitekto paisaia;mbunifu wa mazingira;景观设计师
artistic;leadman;pengetua;juhtivtöötaja;leadman;vezető ember;ղեկավարը;লিড মানুষ;leadman;リードマン;리드맨;kurşun adam;asiwaju;leadman;msimamizi;利德曼
artistic;leadwoman;ketua wanita;juhtivtöötaja;leadwoman;leadwoman;ղեկավարը;leadwoman;leadwoman;リードウーマン;납치범;leadwoman;asiwaju;leadwoman;leadwoman;leadwoman
artistic;limner;limner;limner;limner;festő;limner;পটুয়া;limner;師;화공;ressam;limner;limner;limner;画匠
artistic;luthier;luthier;luthier;soitinrakentaja;hangszerkészítő;luthier;luthier;luthier;ルター;루터;lutiye;luthier;luthier;luthier;制琴师
artistic;lyricist;lirik;lüürikaine;sanoittaja;lírikus;լիրիկիստ;গীতিকার;lyricist;作詞家;작사가;lirik güfte yazarı;lyricist;lyricist;mwimbaji;作词
artistic;make-up artist;artis solekan;meigikunstnik;meikkitaiteilija;sminkes;դիմահարդարման նկարիչ;মেক আপ শিল্পী;श्रिङ्गारकर्ता;メイクアップアーティスト;메이크업 아티스트;makyaj sanatçısı;ṣe olorin-ṣiṣe;makillajea artista;msanii wa kujifanya;彩妆大师
artistic;marchand-mercier;marchand-mercier;marchand-mercier;marchand-mercier;marchand-mercier;marchand-mercier;marchand-mercier;marchand-mercier;マーチアンドメルシエ;마른드 머시 어;marchand-mercier;marchand-mercier;marchand-mercier;maandamana-mercier;马尔尚 - 名士
artistic;marine designer;pereka laut;mere disainer;merisuunnittelija;tengeri tervező;ծովային դիզայներ;সামুদ্রিক ডিজাইনার;समुद्री डिजाइनर;海洋デザイナー;해양 디자이너;deniz tasarımcısı;oludasile okun;itsas diseinatzailea;mtengenezaji wa baharini;海洋设计师
artistic;media designer;pereka media;meedia disainer;media suunnittelija;média tervezője;մեդիա դիզայներ;মিডিয়া ডিজাইনার;मिडिया डिजाइनर;メディアデザイナー;미디어 디자이너;medya tasarımcısı;onise apẹẹrẹ;media diseinatzailea;mtunzi wa vyombo vya habari;媒体设计师
artistic;model;model;mudel;malli-;modell;մոդել;মডেল;मोडेल;モデル;모델;model;awoṣe;eredu;mfano;模型
artistic;multi-media artist;artis multi-media;multimeedia kunstnik;monimedia-taiteilija;multimédiás művész;բազմազգ մեդիա նկարիչ;মাল্টি মিডিয়া শিল্পী;बहु-मीडिया कलाकार;マルチメディアアーティスト;멀티미디어 아티스트;multimedya sanatçısı;oniṣowo oni-media pupọ;multimedia anitzeko artistak;msanii wa vyombo vya habari mbalimbali;多媒体艺术家
artistic;muralist;muralis;muralist;muralist;muralist;մուալիստ;muralist;मिररवादी;壁画家;벽화가;muralist;muralist;irudigile;muralist;壁画
artistic;musician;pemuzik;muusik;muusikko;zenész;երաժիշտ;সুরকার;संगीतकार;ミュージシャン;음악가;müzisyen;alarinrin;musikari;mwanamuziki;音乐家
artistic;party planner;perancang parti;erakorraline planeerija;puolueen suunnittelija;buli tervező;կուսակցության պլանավորողը;দল পরিকল্পক;पार्टी प्लानर;パーティープランナー;파티 플래너;parti planlayıcısı, organizatör;alakoso alakoso;party planifikatzailea;mpangaji wa chama;派对策划师
artistic;penciller;penciller;penitseller;piirtäjä;rajzoló;մատիտներ;পেনসিলার;पेंसिलर;鉛筆;연필;çizen;penciller;marrazkilaria;penya;penciller
artistic;photographer;juru gambar;fotograaf;valokuvaaja;fotós;լուսանկարիչ;ফটোগ্রাফার;फोटोग्राफर;写真家;사진 작가;fotoğrafçı;fotogirafa;argazkilari;mpiga picha;摄影师
artistic;photojournalist;wartawan foto;fotojournalist;valokuvajournalisti;fotóriporter;ֆոտոլրագրող;ফটোসাংবাদিক;photojournalist;フォトジャーナリスト;포토 저널리스트;foto muhabir;fotojournalist;photojournalist;photojournalist;摄影记者
artistic;playwright;pengarang drama;näitekirjanik;näytelmäkirjailija;drámaíró;դրամատուրգ;নাট্যকার;खेलकुद;劇作家;극작가;oyun yazarı;playwright;dramaturgo;mchezaji wa michezo;剧作家
artistic;poet;penyair;luuletaja;runoilija;költő;բանաստեղծ;কবি;कवि;詩人;시인;şair;akewi;poeta;mshairi;诗人
artistic;potter;tukang periuk;potter;savenvalaja;fazekas;պղպեղ;কুলাল;potter;陶工;도공;çömlekçi;potter;ontzigile;potter;制陶工人
artistic;printmaker;pembuat cetakan;graafikunstnik;taidegraafikko;printmaker;printmaker;printmaker;प्रिन्टमेकर;プリントメーカー;판사;grafiker;onisejade;printmaker;printmaker;版画家
artistic;production designer;pereka produksi;tootmis disainer;tuotantosuunnittelija;termelési tervező;արտադրության դիզայներ;উৎপাদন ডিজাইনার;उत्पादन डिजाइनर;生産デザイナー;생산 디자이너;yapım tasarımcısı;onise apẹẹrẹ;ekoizpen diseinatzailea;mtengenezaji wa uzalishaji;产品设计师
artistic;reporter;wartawan;reporter;reportteri;riporter;լրագրող;সংবাদদাতা;रिपोर्टर;レポーター;보고자;muhabir;onirohin;erreportaria;mwandishi;记者
artistic;scenographer;jurubahasa;stsenograaf;lavastajan;díszlettervező;նկարիչ;scenographer;परिदृश्य;シナリオ作家;시나리오 작가;sahne tasarımcısı;alaworan;eszenografo;scenographer;舞台设计师
artistic;screenwriter;penulis skrin;stsenarist;käsikirjoittaja;forgatókönyvíró;սցենարիստ;চিত্রনাট্যকার;स्क्रिप्टलेखक;脚本家;시나리오 작가;senaryo yazarı;onisewewe;gidoilari;mwandishi wa skrini;编剧
artistic;sculptor;pengukir;skulptor;kuvanveistäjä;szobrász;քանդակագործ;ভাস্কর;मूर्तिकला;彫刻家;조각가;heykeltraş;oluṣan;eskultoreak;muigaji;雕塑家
artistic;set decorator;set dekorator;seatud dekoraator;aseta koristelija;díszítő;սահմանել դեկորատոր;সেট সজ্জাসংক্রান্ত;सेट decorator;セットデコレータ;장식하다;dekoratör koymak;ṣeto ọṣọ;ezarri dekoratzailea;kuweka decorator;设置装饰者
artistic;set dresser;set dresser;seatud kummut;asettaa lipasto;előkészítő;սահմանել շորեր;সেট ড্রেসার;ड्रेसर सेट गर्नुहोस्;ドレッサーをセット;드레서 세트;set klozet;ṣeto agbẹri;jantzigela;kuweka mtunzi;设置梳妆台
artistic;silversmith;tukang perak;siuvlane;hopeaseppä;ezüstműves;silversmith;রৌপ্যশিল্পী;रेशममिथि;シルバースミス;은세공 인;gümüşçü;alagbẹdẹ;zilargilea;silversmith;银匠
artistic;sound designer;pereka bunyi;heli disainer;äänisuunnittelija;hangtervező;ձայնային դիզայներ;শব্দ ডিজাইনার;ध्वनि डिजाइनर;サウンドデザイナー;사운드 디자이너;ses tasarımcısı;oluṣeto ohun;soinu diseinatzailea;mtengenezaji wa sauti;音响设计师
artistic;stage director;pengarah pentas;lavastaja;johtaja;színpadi rendező;ռեժիսոր;মঞ্চ নির্দেশক;चरण निर्देशक;舞台監督;무대 감독;tiyatro yönetmeni;oludari igbimọ;etapa zuzendaria;mkurugenzi wa hatua;舞台导演
artistic;teaching artist;guru mengajar;kunstniku õpetamine;opetusartisti;tanító művész;ուսուցչի նկարիչ;শিক্ষণ শিল্পী;शिक्षण कलाकार;教師;가르치는 예술가;sanatçı öğretmen;olukọni olukọni;irakaskuntza artistikoa;msanii wa kufundisha;教学艺术家
artistic;theatre consultant;perunding teater;teatri konsultant;teatterikonsultti;színházi tanácsadó;թատերական խորհրդատու;থিয়েটার কনসালট্যান্ট;थिएटर सलाहकार;シアターコンサルタント;극장 컨설턴트;tiyatro danışmanı;alakoso itage;antzerki aholkularia;mshauri wa theatre;剧院顾问
artistic;typeface designer;pereka tipografi;kirjatüüp disainer;kirjasintyyjä;típustervező;տպագիր ձեւավորող;টাইপফেস ডিজাইনার;टाइपफेस डिजाइनर;書体デザイナー;활자체 디자이너;yazı tasarımı;onise apẹẹrẹ;tipografia diseinatzailea;designface designer;字体设计师
artistic;tattooist;tatu;tätoveerija;tatuoija;tattooist;դաջվածքներ;tattooist;tattooist;刺青師;문신가;dövmeci;tattooist;tattooist;tattooist;纹身
artistic;urban planner;perancang bandar;linnaplaneerija;kaupunkisuunnittelija;várostervező;քաղաքային պլանավորող;শহর পরিকল্পনাকারী;शहरी प्लानर;都市計画;도시 계획 자;şehir plancısı;eto eto ilu;hiriko planifikatzailea;mpangaji wa miji;城市规划师
artistic;web designer;pereka web;veebi disainer;nettisivujen suunnittelija;web designer;վեբ դիզայներ;ওয়েব ডিজাইনার;वेब डिजाइनर;ウェブデザイナー;웹 디자이너;web tasarımcısı;onise ayelujara;web diseinatzailea;mtengenezaji wa wavuti;网站设计者
artistic;wedding planner;perancang perkahwinan;pulmade planeerija;hääsuunnittelija;esküvőszervező;հարսանեկան պլանավորողը;বিবাহের পরিকল্পনাকারী;विवाह योजनाकार;ウェディングプランナー;웨딩 플래너;düğün planlayıcı;alakoso igbeyawo;ezkontza planifikatzailea;mpangaji wa harusi;婚礼策划师
artistic;writer;penulis;kirjanik;kirjailija;író;գրող;লেখক;लेखक;ライター;작가;yazar;onkqwe;idazleak;mwandishi;作家
artistic;singer;penyanyi;laulja;laulaja;énekes;երգիչ;গায়ক;गायक;歌手;가수;şarkıcı;akorin;abeslaria;mwimbaji;歌手
computer;application analyst;penganalisis aplikasi;rakenduse analüütik;sovellusanalyytikko;alkalmazáselemző;կիրառական վերլուծաբան;অ্যাপ্লিকেশন বিশ্লেষক;आवेदन विश्लेषक;アプリケーションアナリスト;애플리케이션 분석가;uygulama analisti;oluyanju ohun elo;aplikazio analista;mchambuzi wa programu;应用分析师
computer;computer operator;operator komputer;arvuti operaator;tietokone-operaattori;számitógép kezelő;համակարգչային օպերատոր;কম্পিউটার চালনাকারী;कम्प्युटर अपरेटर;コンピュータオペレータ;컴퓨터 운영자;bilgisayar operatörü;oniṣẹ kọmputa;ordenagailuaren operadorea;mtumiaji wa kompyuta;电脑操作员
computer;computer repair technician;juruteknik pembaikan komputer;arvuti remont tehnik;tietokone korjaus teknikko;számítógép javító technikus;համակարգչային տեխնիկայի վերանորոգում;কম্পিউটার মেরামতের প্রযুক্তিবিদ;कम्प्युटर मरम्मत टेक्नीसियन;コンピュータ修理技術者;컴퓨터 수리 기술자;bilgisayar onarım teknisyeni;oniṣisẹ atunṣe kọmputa;ordenagailuaren konponketa teknikaria;teknolojia ya ukarabati wa kompyuta;电脑维修技术员
computer;computer scientist;saintis komputer;arvutiteadlane;tietojenkäsittelytieteilijä;informatikus;համակարգչային գիտնական;কম্পিউটার বিজ্ঞানী;कम्प्युटर वैज्ञानिक;コンピュータ科学者;컴퓨터 과학자;bilgisayar uzmanı;ọmowé kọmputa;ordenagailuko zientzialaria;mwanasayansi wa kompyuta;电脑科学家
computer;computer analyst;penganalisis komputer;arvutianalüütik;tietokoneanalyytikko;számítógépes elemző;համակարգչային վերլուծաբան;কম্পিউটার বিশ্লেষক;कम्प्युटर विश्लेषक;コンピュータアナリスト;컴퓨터 분석가;bilgisayar analizcisi;oluyanju kọmputa;ordenagailu analista;mchambuzi wa kompyuta;电脑分析师
computer;data entry clerk;kerani kemasukan data;andmesisestuse sekretär;tietueen kirjaaja;adatbeviteli ügyintéző;տվյալների մուտքագրման քարտուղար;ডাটা এন্ট্রি কেরানি;डेटा प्रविष्टि क्लर्क;データ入力係;데이터 입력 서기;veri giriş elemanı;akọsilẹ akọsilẹ data;datuen sarrera idazkaria;daktari wa kuingia data;数据录入员
computer;database administrator;pentadbir pangkalan data;andmebaasi administraator;tietokannan ylläpitäjä;adatbázis adminisztrátor;տվյալների բազայի կառավարիչ;ডাটাবেস প্রশাসক;डेटाबेस प्रशासक;データベース管理者;데이터베이스 관리자;veritabanı yöneticisi;olutọju ipamọ data;datu-basearen administratzailea;msimamizi wa database;数据库管理员
