Category	English	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali	Nepali	Japanese	Korean	Turkish	Yoruba	Basque	Swahili	Chinese	
Business and financial operations occupations	Development specialist	?	arengu spetsialist	kehitysasiantuntija	fejlesztési szakember	զարգացման մասնագետ	উন্নয়ন বিশেষজ্ঞ	विकास विशेषज्ञ	開発専門家	개발 전문가	?	oludari ọlọgbọn	garapen espezialista	mtaalamu wa maendeleo	开发专家	
Business and financial operations occupations	Event planner	perancang majlis	sündmuse planeerija	tapahtumasuunnittelija	eseménytervező	միջոցառման ծրագրավորող	ইভেন্ট পরিকল্পক	कार्यक्रम प्लानर	イベントプランナー	이벤트 플래너	?	oludari eto iṣẹlẹ	gertaera plana	mpangaji wa tukio	计划人，策划人	
Business and financial operations occupations	Farm products buyer	pembeli produk ladang	?	maataloustuotteiden ostaja	?	?	?	?	農産物購入者	?	?	r'oko awọn ọja ti onra	?	mnunuzi wa bidhaa za shamba	农产品买家	
Business and financial operations occupations	Farm products purchasing agent	ejen pembelian produk ladang	põllumajandustoodete ostmisega tegelev agent	?	mezőgazdasági termékek beszerzési ügynöke	?	কৃষি পণ্য ক্রয় এজেন্ট	खेती उत्पादन खरीद एजेन्ट	農産物購買エージェント	농산물 구매 대리인	?	?	?	wakala wa ununuzi wa bidhaa za kilimo	农产品采购代理	
Business and financial operations occupations	Financial analyst	penganalisis kewangan	finantsanalüütik	talousanalyytikko	pénzügyi elemző	ֆինանսական վերլուծաբան	আর্থিক বিশ্লেষক	?	金融アナリスト	재무 분석가	finansal analist	oluyanju owo	finantza analista	?	金融分析师	
Business and financial operations occupations	Financial examiner	pemeriksa kewangan	finantsinspektor	taloudellinen tutkija	pénzügyi vizsgáztató	ֆինանսական վերլուծաբան	আর্থিক পরীক্ষক	वित्तीय परीक्षक	金融審査官	재정 심사관	finansal inceleme	?	finantza-aztertzailea	mtazamaji wa kifedha	?	
Business and financial operations occupations	Financial specialist	?	?	?	?	?	?	वित्तीय विशेषज्ञ	?	금융 전문가	finansal uzman	oniwadi owo	finantza espezialista	?	财务专家	
Business and financial operations occupations	Fundraiser	pengumpul dana	fundraiser	varainkeruun	?	?	?	fundraiser	募金活動	기금 조달 자	bağış	?	?	fundraiser	募捐	
Business and financial operations occupations	Human resources worker	pekerja sumber manusia	inimressursi töötaja	?	humán erőforrás dolgozók	մարդկային ռեսուրսների աշխատող	?	मानव संसाधन कर्मचारी	人材派遣	?	insan kaynakları çalışanı	oṣiṣẹ alakoso eniyan	?	?	人力资源工作者	
Business and financial operations occupations	Insurance underwriter	penaja jamin insurans	kindlustusandja	vakuutuksenottaja	biztosítási jegyző	ապահովագրական անդորրագիր	বীমা অন্তর্বর্তী	बीमा लिखित	保険引受人	?	sigorta sigortacısı	?	aseguratzaileak	bima ya chini ya bima	保险承销商	
Business and financial operations occupations	Job analysis specialist	?	töö analüüsi spetsialist	työanalyysin asiantuntija	munkahelyi elemzés specialistája	աշխատանքի վերլուծության մասնագետ	কাজের বিশ্লেষণ বিশেষজ্ঞ	नौकरी विश्लेषण विशेषज्ञ	就職分析専門家	직업 분석 전문가	iş analizi uzmanı	iṣẹ onínọmbà onínọmbà	lan azterketa espezialista	mtaalamu wa uchambuzi wa kazi	工作分析专家	
Business and financial operations occupations	Loan officer	?	laenu ametnik	lainanantaja	hitel tiszt	վարկային մասնագետ	ঋণ অফিসার	ऋण अधिकारी	融資担当者	대출 장교	?	oṣiṣẹ igbimọ	?	afisa wa mkopo	信贷员	
Business and financial operations occupations	Logistician	logistik	?	?	logistician	?	logistician	रस्सीवादी	論理学者	논리 학자	lojistikçi	logistician	logistika	logistician	物流师	
Business and financial operations occupations	Management analyst	penganalisis pengurusan	juhtimisanalüütik	johtajan analyytikko	vezetői elemző	կառավարման վերլուծաբան	ব্যবস্থাপনা বিশ্লেষক	प्रबंधन विश्लेषक	経営アナリスト	경영 분석가	yönetim analisti	oluyanju isakoso	kudeaketa analista	mchambuzi wa usimamizi	管理分析师	
Business and financial operations occupations	Manager	pengurus	juht	johtaja	menedzser	մենեջեր	ব্যবস্থাপক	प्रबन्धक	マネージャー	매니저	müdür	oluṣakoso	kudeatzailea	meneja	经理	
Business and financial operations occupations	Market research analyst	penganalisis penyelidikan pasaran	turu-uuringute analüütik	markkinatutkimuksen analyytikko	piackutató elemző	շուկայական հետազոտությունների վերլուծաբան	বাজার গবেষণা বিশ্লেষক	बजार अनुसन्धान विश्लेषक	市場調査アナリスト	시장 조사 분석가	pazar araştırması analisti	oluyanju iwadi oja	merkatuko ikerketen analista	mchambuzi wa utafiti wa soko	市场研究分析师	
Business and financial operations occupations	Marketing specialist	pakar pemasaran	turunduse spetsialist	markkinointiasiantuntija	marketing szakember	մարքեթինգային մասնագետ	বিপণন বিশেষজ্ঞ	मार्केटिंग विशेषज्ञ	マーケティングスペシャリスト	마케팅 전문가	pazarlama uzmanı	oniwosan tita	marketing espezialista	mtaalamu wa masoko	市场营销专家	
Business and financial operations occupations	Meeting planner	perancang mesyuarat	koosoleku planeerija	kokoussuunnittelija	találkozó tervező	հանդիպման պլանավորողը	মিটিং পরিকল্পনাকারী	बैठक योजनाकार	会議プランナー	회의 플래너	görüşme planlayıcı	ipade alakoso	bilera planifikatzailea	mpangilio wa mkutano	会议策划师	
Business and financial operations occupations	Personal financial advisor	penasihat kewangan peribadi	isiklik finantsnõunik	henkilökohtainen taloudellinen neuvonantaja	személyes pénzügyi tanácsadó	անձնական ֆինանսական խորհրդատու	ব্যক্তিগত আর্থিক উপদেষ্টা	व्यक्तिगत वित्तीय सल्लाहकार	個人財務アドバイザー	개인 재정 고문	kişisel finansal danışman	oludaniranran iṣowo ti ara ẹni	finantza aholkulari pertsonala	mshauri binafsi wa kifedha	个人理财顾问	
Business and financial operations occupations	Purchasing agent	ejen pembelian	ostuagent	ostajan edustaja	beszerzési ügynök	գնման գործակալ	ক্রয় এজেন্ট	खरिद एजेन्सी	購買担当者	구매 에이전트	satın alma acentası	oluṣowo rira	erosketa agentea	wakala wa ununuzi	采购代理	
Business and financial operations occupations	Real estate Appraiser	penilai hartanah	kinnisvara hindaja	kiinteistöarvioija	ingatlan értékbecslő	անշարժ գույքի գնահատող	রিয়েল এস্টেট মূল্যায়নকারী	अचल सम्पत्ति appraiser	不動産鑑定士	부동산 감정인	gayrimenkul değerleme uzmanı	gidi appraiser ohun ini gidi	higiezinen tasatzailea	appraiser ya mali isiyohamishika	房地产评估师	
Business and financial operations occupations	Real estate assessor	penilai hartanah	kinnisvara hindaja	kiinteistön arvioija	ingatlanértékelő	անշարժ գույքի գնահատող	রিয়েল এস্টেট মূল্যায়নকারী	अचल सम्पत्ति आकलनकर्ता	不動産審査員	부동산 감정사	gayrimenkul denetçisi	ohun-ini oloye gidi	higiezinen aholkularia	tathmini ya mali isiyohamishika	房地产评估师	
Business and financial operations occupations	Retail buyer	pembeli runcit	jaemüüja ostja	vähittäiskauppias	kiskereskedelmi vásárló	մանրածախ գնորդ	খুচরা ক্রেতা	खुदरा खरीददार	小売バイヤー	소매 구매자	perakende alıcı	alagbata ti soobu	txikizkako eroslea	mnunuzi wa rejareja	零售买家	
Business and financial operations occupations	Revenue agent	ejen pendapatan	tuluagent	tuloja	bevételi ügynök	եկամտի գործակալ	রাজস্ব এজেন্ট	राजस्व एजेन्ट	収益エージェント	수익원	gelir temsilcisi	aṣoju wiwọle	diru-sarreren agente	wakala wa mapato	收入代理	
Business and financial operations occupations	Tax collector	pengutip cukai	maksukoguja	veronkevijä	adószedő	հարկային հավաքիչ	কর সংগ্রাহক	कर कलेक्टर	税理士	세금 징수 원	vergi memuru	agbowode-ori	zerga bilatzailea	mtoza ushuru	收税员	
Business and financial operations occupations	Tax examiner	pemeriksa cukai	maksukonsultant	verotarkastaja	adóvizsgáló	հարկային քննող	ট্যাক্স পরীক্ষক	कर परीक्षक	税務審査官	과세 심사관	vergi incelemesi	oluwo owo-ori	zerga-aztertzailea	mkaguzi wa kodi	税务审查员	
Business and financial operations occupations	Tax preparer	preparer cukai	maksuametnik	vero valmistelija	adóelőkészítő	հարկային նախապատրաստող	ট্যাক্স প্রস্তুতকারক	कर तयारीकर्ता	税務申告書	세금 신고자	vergi hazırlayıcısı	igbese igbimọ	zerga prestatzailea	preparer kodi	税务准备员	
Business and financial operations occupations	Training specialist	pakar latihan	koolituse spetsialist	koulutusalan asiantuntija	képzési szakember	վերապատրաստման մասնագետ	প্রশিক্ষণ বিশেষজ্ঞ	प्रशिक्षण विशेषज्ञ	トレーニングスペシャリスト	훈련 전문가	eğitim uzmanı	olukọni ikẹkọ	prestakuntza espezialista	mtaalamu wa mafunzo	培训专家	
Business and financial operations occupations	Wholesale buyer	pembeli borong	hulgimüüja ostja	tukkumyyjä	nagykereskedelmi vásárló	մեծածախ վաճառող	পাইকারি ক্রেতা	थोक खरीदार	卸売バイヤー	도매 구매자	toptan alıcı	oniwo rira	handizkako eroslea	mnunuzi wa jumla	批发买家	
Office and administrative support occupations	Account collector	pengumpul akaun	konto koguja	tilin keräilijä	számlagyűjtő	հաշվի կոլեկցիոներ	অ্যাকাউন্ট সংগ্রাহক	खाता कलेक्टर	アカウントコレクタ	계정 수집가	hesap toplayıcı	akopọ iroyin	kontu-biltzailea	mtozaji wa akaunti	帐户收集器	
Office and administrative support occupations	Accounting clerk	kerani perakaunan	raamatupidaja	kirjanpitäjä	számviteli ügyintéző	հաշվապահին	অ্যাকাউন্টিং ক্লার্ক	लेखा क्लर्क	会計係	회계 사무원	muhasebe memuru	akọwe iṣiro	kontabilitate arduraduna	karani wa uhasibu	会计文员	
Office and administrative support occupations	Administrative assistant	pembantu pentadbiran	haldusassistent	johdon assistentti	adminisztratív asszisztens	ադմինիստրատիվ օգնական	প্রশাসনিক সহকারী	प्रशासनिक सहायक	事務補助	행정 보조	yönetici asistan	isakoso iranlọwọ	administrazio-laguntzailea	msaidizi wa utawala	行政助理	
Office and administrative support occupations	Administrative support worker	pekerja sokongan pentadbiran	haldustoetöötaja	hallinnollisen tuen työntekijä	adminisztratív támogató munkavállaló	վարչական աջակցության աշխատող	প্রশাসনিক সমর্থন কর্মী	प्रशासनिक समर्थन कार्यकर्ता	行政支援隊員	행정 지원 인력	idari destek görevlisi	olutọju atilẹyin ile-iṣẹ	administrazio laguntza langilea	mfanyakazi wa msaada wa utawala	行政支援人员	
Office and administrative support occupations	Auditing clerk	kerani audit	audiitor	tilintarkastaja	könyvvizsgáló ügyintéző	աուդիտի քարտուղար	অডিটিং ক্লার্ক	लेखा परीक्षा क्लर्क	監査員	감사원	denetim memuru	akọwe akọsilẹ	auditore idazkaria	kamati ya ukaguzi	审计员	
Office and administrative support occupations	Bill collector	pengumpul bil	arve koguja	laskukerääjä	számlagyűjtő	օրինագծի կոլեկցիոներ	রসিদ সংগ্রহকারী	बिल कलेक्टर	紙幣コレクター	빌 콜렉터	fatura toplayıcı	agbowọ owo-owo	bill collector	mtoza muswada	法案收藏家	
Office and administrative support occupations	Billing clerk	kerani tagihan	arveldusametnik	laskutustarkastaja	számlázási alkalmazott	բիլինգի ծառայող	বিলিং ক্লার্ক	बिलिङ क्लर्क	課金係	청구서 작성 담당자	faturalama memuru	iwe iwe ifunwo	fakturazio idazkaria	karani ya kulipa	开票员	
Office and administrative support occupations	Bookkeeping clerk	kerani buku simpan kira	raamatupidaja	kirjanpitäjä	könyvelési tisztviselő	հաշվապահական հաշվետվություն	নথিভুক্তিকরণ ক্লার্ক	बुकमार्क क्लीनिक	簿記係	부기 서기	defter tutma memuru	iwe akosile kika	liburutegi idazkaria	kamati ya uhifadhi	簿记员	
Office and administrative support occupations	Brokerage clerk	kerani broker	vahendusametnik	välittäjälle	brókercég	բրիգադի քարտուղար	দালাল ক্লার্ক	ब्रोकरेज क्लर्क	仲介係	중개 사무원	komisyonculuk memuru	alakoso alagbata	bitartekaritza idazkaria	karani wa udalali	经纪人员	
Office and administrative support occupations	Cargo agent	ejen kargo	lastiagent	rahdin edustaja	rakományügynök	բեռի գործակալ	পণ্যসম্ভার এজেন্ট	कार्गो एजेन्ट	貨物代理店	화물 에이전트	kargo acentesi	oluranlowo onisowo	zama-agente	wakala wa mizigo	货运代理	
Office and administrative support occupations	Clerical library assistant	pembantu perpustakaan perkeranian	kantselei raamatukogu assistent	kirjallinen kirjaston avustaja	könyvtári asszisztens	գրական գրադարանի օգնական	ক্লারিকাল গ্রন্থাগারের সহকারী	क्लिकल पुस्तकालय सहायक	事務所図書館員	서기 도서관 보조	büro kütüphanesi asistanı	cleric library assistant	liburutegi laguntzaile arduraduna	msaidizi wa maktaba ya maktaba	文书图书馆助理	
Office and administrative support occupations	Communications equipment operator	pengendali peralatan komunikasi	sidevahendite operaator	viestintälaitteiden operaattori	kommunikációs berendezések üzemeltetője	կապի սարքավորումների օպերատոր	যোগাযোগ সরঞ্জাম অপারেটর	संचार उपकरण परिचालक	通信機器オペレータ	통신 장비 운영자	iletişim ekipman operatörü	oniṣẹ ẹrọ ibaraẹnisọrọ	komunikazio ekipoen operadorea	operator vifaa vya mawasiliano	通信设备运营商	
Office and administrative support occupations	Computer operator	operator komputer	arvuti operaator	tietokone-operaattori	számitógép kezelő	համակարգչային օպերատոր	কম্পিউটার চালনাকারী	कम्प्युटर अपरेटर	コンピュータオペレータ	컴퓨터 운영자	bilgisayar operatörü	oniṣẹ kọmputa	ordenagailuaren operadorea	mtumiaji wa kompyuta	电脑操作员	
Office and administrative support occupations	Copy marker	penanda salin	koopia marker	kopiointimerkki	másolandó jelölő	պատճենող նշիչ	কপি মার্কার	प्रतिलिपि मार्कर	コピーマーカー	사본 마커	kopyalama işaretçisi	daakọ aami	kopiatu markatzailea	alama ya nakala	复制标记	
Office and administrative support occupations	Correspondence clerk	kerani surat-menyurat	kirjavahetusametnik	kirjeenvaihtaja	levelező jegyző	նամակագրության քարտուղար	চিঠিপত্রের ক্লার্ক	पत्राचार क्लर्क	通信員	통신 서기	yazışma memuru	akọwe ikowe	korrespondentzia idazkaria	karani wa mawasiliano	通信员	
Office and administrative support occupations	Courier	kurier	kuller	kuriiri	futár	սուրհանդակ	দূত	कूरियर	宅配便	급사	kurye	oluranse	mezulari	courier	信使	
Office and administrative support occupations	Court clerk	kerani mahkamah	kohtu sekretär	tuomioistuimen kirjaaja	bírósági tisztviselő	դատարան քարտուղար	আদালত কেরানি	अदालत क्लर्क	裁判所書記官	법원 서기	mahkeme memuru	akọwe ile-ẹjọ	idazkari judiziala	karani wa mahakama	法院书记	
